актьор	и	продуцент	0.750000
за	около	година	0.088235
за	около	милиона	0.088235
за	около	милиарда	0.088235
за	онези	които	0.800000
за	онова	което	0.750000
за	опасност	от	0.500000
за	опит	за	0.727273
за	определен	период	0.454545
за	организация	на	1.000000
за	организацията	на	0.571429
за	останалата	част	0.800000
за	от	тях	0.400000
за	от	общо	0.200000
за	отбора	на	0.500000
за	отбора	и	0.250000
за	отговор	на	0.500000
за	отказа	на	0.600000
за	откриването	на	1.000000
за	отношенията	между	0.400000
за	отношенията	с	0.300000
за	охрана	и	0.428571
за	охраната	на	1.000000
за	оценка	на	0.681818
за	още	по	0.238095
за	още	един	0.119048
за	още	три	0.071429
за	още	една	0.071429
за	пари	и	0.411765
за	пациенти	с	1.000000
за	период	от	0.826087
за	период	до	0.130435
за	пет	години	0.454545
за	пети	път	1.000000
за	плана	за	0.666667
за	плановете	за	0.428571
за	плодове	и	0.833333
за	по	малко	0.190476
за	по	дълго	0.079365
за	по	добър	0.055556
за	по	голяма	0.047619
за	по	добро	0.047619
за	по	високи	0.039683
за	по	висока	0.039683
за	по	дълъг	0.031746
за	по	добри	0.023810
за	по	големи	0.023810
за	по	големите	0.023810
за	по	няколко	0.023810
за	повече	от	0.285714
за	повече	пари	0.142857
за	повечето	хора	0.384615
за	повечето	от	0.230769
за	погребението	на	0.750000
за	подготовка	на	0.687500
за	подготовка	и	0.187500
за	подкрепа	на	0.729167
за	подкрепата	и	0.400000
за	подкрепата	на	0.300000
за	подобно	нещо	0.500000
за	пожар	в	0.857143
за	пожара	е	0.700000
за	позицията	на	0.700000
за	политически	натиск	0.375000
за	половин	милион	0.250000
за	помощ	на	0.190476
за	помощ	за	0.190476
за	поне	три	0.500000
за	поръчка	на	0.750000
за	посещение	на	0.625000
за	последната	година	0.500000
за	последните	години	0.333333
за	последните	месеца	0.091954
за	последните	дни	0.057471
за	последните	четири	0.057471
за	последните	две	0.057471
за	последните	три	0.045977
за	последните	г	0.045977
за	последните	часа	0.045977
за	последните	пет	0.045977
за	последните	шест	0.034483
за	последните	няколко	0.034483
за	последния	месец	0.636364
за	последно	през	0.160000
за	последно	е	0.120000
за	последно	в	0.120000
за	посоката	на	1.000000
за	постоянно	в	0.625000
за	почивка	и	0.363636
за	почивка	с	0.272727
за	права	и	0.857143
за	правата	на	0.857143
за	правителство	на	0.210526
за	правителство	с	0.157895
за	празника	на	0.428571
за	превоз	на	0.500000
за	преглед	и	0.333333
за	преглед	в	0.333333
за	преговори	с	0.333333
за	преговори	за	0.142857
за	предаване	на	1.000000
за	предаването	на	0.333333
за	председател	на	0.836735
за	предупреждение	и	0.750000
за	президент	на	0.666667
за	престъпление	по	0.571429
за	престъпление	от	0.085714
за	престъпление	за	0.085714
за	престъпления	по	0.428571
за	престъпленията	на	0.600000
за	пример	на	0.176471
за	присъствие	на	1.000000
за	присъствието	на	0.750000
за	причините	за	0.444444
за	пробив	в	0.625000
за	проблеми	с	0.545455
за	проблемите	на	0.400000
за	провал	на	1.000000
за	проверка	на	0.377358
за	проверка	лек	0.226415
за	проверка	са	0.094340
за	продажба	на	0.576923
за	продължаваме	промяната	1.000000
за	проекта	за	0.375000
за	промени	в	0.829268
за	промяна	на	0.485714
за	промяна	в	0.257143
за	против	и	0.800000
за	проучване	на	0.750000
за	пръв	път	1.000000
за	първа	помощ	0.363636
за	първата	година	0.333333
за	първи	път	0.986047
за	първите	месеца	0.193548
за	първите	шест	0.129032
за	първите	два	0.096774
за	първия	си	0.272727
за	първото	място	0.444444
за	пътуване	с	0.250000
за	работа	с	0.186047
за	работа	в	0.162791
за	работа	и	0.162791
за	работа	на	0.116279
за	работа	по	0.093023
за	работата	на	0.666667
за	работата	му	0.142857
за	работата	си	0.142857
за	разбиране	на	0.500000
за	развитие	на	0.747368
за	развитие	и	0.063158
за	разговори	за	0.285714
за	разговори	с	0.285714
за	разлика	от	0.973684
за	размера	на	1.000000
за	разследване	на	1.000000
за	разходите	за	0.363636
за	разходите	на	0.272727
за	рак	на	0.800000
за	реакция	при	0.375000
за	ремонт	на	0.697674
за	ремонт	и	0.162791
за	решение	за	0.375000
за	решение	на	0.312500
за	решението	на	0.444444
за	родината	си	0.600000
за	рождения	ден	0.307692
за	рождения	си	0.230769
за	ролята	на	0.666667
за	русия	и	0.179487
за	русия	или	0.128205
за	руски	газ	0.214286
за	руски	самолети	0.214286
за	сащ	и	0.500000
за	свобода	и	0.500000
за	свобода	на	0.375000
за	свободата	на	0.666667
за	свободна	търговия	0.833333
за	своя	сметка	0.200000
за	себе	си	0.985294
за	сега	не	0.200000
за	сега	само	0.200000
за	седем	години	0.375000
за	сексуално	насилие	1.000000
за	семейството	си	0.473684
за	си	и	1.000000
за	сигурност	на	0.320513
за	сигурност	и	0.205128
за	сигурност	в	0.089744
за	сигурност	са	0.051282
за	сигурност	да	0.038462
за	сигурност	за	0.038462
за	сигурността	на	0.617647
за	сигурността	и	0.147059
за	силата	на	0.750000
за	силен	вятър	1.000000
за	ситуацията	с	0.416667
за	ситуацията	в	0.250000
за	следващата	година	0.743590
за	следващата	седмица	0.102564
за	следващите	години	0.343750
за	следващите	месеца	0.125000
за	следващите	месеци	0.125000
за	следващия	сезон	0.333333
за	следващия	месец	0.333333
за	служителите	на	0.333333
за	случаи	на	0.750000
за	случай	в	0.600000
за	случая	е	0.380952
за	случая	с	0.238095
за	случилото	се	1.000000
за	сметка	на	0.977528
за	смъртта	на	0.666667
за	смъртта	му	0.128205
за	смяна	на	0.818182
за	смяната	на	0.600000
за	собствени	нужди	0.714286
за	собствените	си	0.500000
за	собственото	си	0.750000
за	софия	и	0.160000
за	софия	но	0.120000
за	софия	откъдето	0.120000
за	спешна	медицинска	0.454545
за	спешна	помощ	0.363636
за	спомен	от	1.000000
за	сравнение	за	0.181818
за	сравнение	през	0.181818
за	сравнение	в	0.090909
за	сравнение	при	0.090909
за	среща	с	0.384615
за	среща	на	0.307692
за	срещи	с	0.333333
за	срок	от	0.492063
за	срок	до	0.476190
за	стари	хора	0.888889
за	страната	ни	0.288889
за	страната	е	0.088889
за	страната	му	0.088889
за	страната	си	0.088889
за	страната	за	0.066667
за	страни	като	0.333333
за	събиране	на	0.956522
за	съдбата	на	0.750000
за	съдбата	му	0.250000
за	съжаление	не	0.075862
за	съжаление	в	0.068966
за	съжаление	това	0.041379
за	съжаление	има	0.034483
за	съжаление	обаче	0.034483
за	съжаление	е	0.027586
за	съжаление	няма	0.027586
за	съжаление	те	0.020690
за	съжаление	той	0.020690
за	съжаление	за	0.020690
за	съжаление	на	0.020690
за	съжаление	се	0.020690
за	създаването	на	0.900000
за	съмнения	за	1.000000
за	състоянието	на	0.842105
за	съществуването	на	0.428571
за	съществуването	му	0.428571
за	същия	период	0.789474
за	тази	година	0.414634
за	тази	цел	0.113821
за	тази	война	0.032520
за	тази	зима	0.032520
за	тази	подкрепа	0.024390
за	тази	дейност	0.024390
за	тази	изключително	0.024390
за	тази	мисия	0.024390
за	такива	като	0.157895
за	те	години	0.300000
за	тежко	умишлено	0.833333
за	тези	които	0.325000
за	тези	години	0.062500
за	тези	от	0.050000
за	тези	пари	0.050000
за	тези	в	0.037500
за	тези	няколко	0.037500
за	тенис	на	1.000000
за	ти	път	0.500000
за	това	че	0.177820
за	това	как	0.080306
за	това	е	0.065010
за	това	което	0.049713
за	това	са	0.038241
за	това	какво	0.030593
за	това	дали	0.028681
за	това	и	0.028681
за	това	да	0.026769
за	това	колко	0.019120
за	това	не	0.015296
за	това	в	0.013384
за	това	какви	0.013384
за	това	за	0.013384
за	това	има	0.011472
за	това	се	0.011472
за	това	на	0.011472
за	това	от	0.011472
за	това	решение	0.007648
за	това	кой	0.007648
за	това	с	0.007648
за	това	време	0.007648
за	това	няма	0.007648
за	това	си	0.007648
за	това	къде	0.007648
за	това	но	0.005736
за	това	обаче	0.005736
за	това	трябва	0.005736
за	това	правителство	0.005736
за	това	престъпление	0.005736
за	този	период	0.125000
за	този	проблем	0.069444
за	този	случай	0.055556
за	този	месец	0.055556
за	този	вид	0.041667
за	този	сезон	0.041667
за	този	който	0.041667
за	този	пост	0.041667
за	ток	за	0.193548
за	ток	на	0.193548
за	ток	в	0.129032
за	ток	и	0.096774
за	трафик	на	0.666667
за	трети	път	0.695652
за	трети	страни	0.173913
за	три	месеца	0.323529
за	три	години	0.235294
за	три	дни	0.176471
за	тунел	под	0.600000
за	търговия	с	0.523810
за	търговия	на	0.238095
за	търсене	на	0.571429
за	търсене	и	0.285714
за	тялото	си	0.750000
за	тях	е	0.130081
за	тях	и	0.073171
за	тях	ще	0.040650
за	тях	няма	0.032520
за	тях	са	0.032520
за	тях	тъй	0.024390
за	тях	не	0.024390
за	тях	има	0.024390
за	тях	обаче	0.024390
за	тях	това	0.024390
за	тях	че	0.024390
за	тяхното	изпълнение	0.428571
за	убийство	на	0.357143
за	убийството	на	0.652174
за	употреба	на	0.862069
за	управител	на	0.941176
за	управление	на	0.800000
за	управление	и	0.040000
за	управлението	на	1.000000
за	усилията	на	0.428571
за	условията	на	0.571429
за	условията	и	0.428571
за	успех	на	0.500000
за	успеха	на	0.571429
за	устройство	на	1.000000
за	участие	в	0.584416
за	участие	на	0.168831
за	участие	във	0.051948
за	участие	до	0.038961
за	участие	са	0.038961
за	участието	на	0.500000
за	учениците	от	0.250000
за	хора	които	0.261905
за	хора	с	0.214286
за	хора	от	0.095238
за	хора	със	0.071429
за	хората	с	0.220339
за	хората	които	0.152542
за	хората	в	0.067797
за	хората	и	0.067797
за	хората	над	0.050847
за	храна	и	0.300000
за	цел	да	0.875000
за	целите	на	0.875000
за	целия	свят	0.277778
за	целта	е	0.106383
за	целта	ще	0.085106
за	целта	на	0.085106
за	целта	са	0.085106
за	целта	се	0.085106
за	целта	трябва	0.085106
за	цената	на	0.764706
за	цените	на	0.875000
за	цял	живот	0.750000
за	цяла	европа	0.666667
за	цялата	страна	0.266667
за	цялата	година	0.266667
за	цялата	г	0.200000
за	цялото	общество	0.333333
за	час	и	0.272727
за	часа	и	0.115385
за	часа	са	0.115385
за	часа	на	0.115385
за	част	от	1.000000
за	четвърти	път	0.666667
за	четири	години	0.333333
за	член	на	0.666667
за	членове	на	0.777778
за	членовете	на	1.000000
за	шест	месеца	0.818182
за	шеф	на	1.000000
за	щастие	няма	0.114286
за	щастие	се	0.085714
за	януари	февруари	0.250000
за	януари	и	0.250000
зависи	дали	ще	0.750000
зависи	и	от	0.857143
зависи	от	това	0.214286
зависи	от	нас	0.089286
зависи	от	вас	0.053571
зависи	от	русия	0.053571
зависи	от	много	0.053571
задържан	годишен	мъж	0.666667
задържан	годишен	от	0.333333
задържан	за	срок	0.350000
задържан	за	часа	0.200000
задържан	за	до	0.200000
задържан	от	служители	0.375000
задържан	с	полицейска	0.600000
заедно	в	час	0.272727
заедно	да	работим	0.428571
заедно	и	да	0.428571
заедно	с	това	0.129630
заедно	с	него	0.055556
заедно	с	още	0.043210
заедно	с	всички	0.037037
заедно	с	нас	0.030864
заедно	с	министъра	0.024691
заедно	с	тях	0.024691
заедно	с	друг	0.018519
заедно	с	други	0.018519
заедно	с	баща	0.018519
заедно	със	своите	0.192308
зала	за	да	0.750000
зала	запад	на	1.000000
залата	за	да	0.571429
запад	на	изток	0.666667
записи	от	камери	0.571429
заплаши	че	ще	0.571429
започна	в	часа	0.363636
започна	в	края	0.272727
започна	да	се	0.262295
започна	през	г	0.333333
започна	през	февруари	0.250000
започнал	да	се	0.411765
започнали	да	се	0.294118
започнат	да	се	0.277778
започнат	да	работят	0.083333
започнат	да	мислят	0.083333
започнах	да	се	0.190476
започнаха	да	се	0.511111
започнаха	да	търсят	0.088889
започне	в	часа	0.428571
започне	в	ч	0.285714
започне	да	се	0.440000
започне	да	работи	0.100000
започне	да	го	0.060000
започнем	да	се	0.300000
заради	войната	в	0.829268
заради	липса	на	1.000000
заради	липсата	на	1.000000
заради	проблемите	с	0.750000
заради	ситуацията	в	0.833333
заради	смъртта	на	1.000000
заради	това	че	0.354839
заради	това	е	0.064516
заради	цената	на	1.000000
защо	все	още	0.600000
защо	господин	министър	1.000000
защо	да	не	0.266667
защо	да	се	0.266667
защо	да	го	0.133333
защо	е	толкова	0.153846
защо	е	необходимо	0.115385
защо	е	тази	0.115385
защо	е	важно	0.115385
защо	и	как	0.375000
защо	не	се	0.193548
защо	не	е	0.145161
защо	не	си	0.080645
защо	не	го	0.064516
защо	не	може	0.048387
защо	никой	не	0.750000
защо	прокуратурата	не	0.750000
защо	се	е	0.200000
защо	това	е	0.428571
защо	трябва	да	0.636364
звездите	в	нас	0.666667
здрави	и	нека	0.250000
зелена	светлина	за	0.384615
зелена	светлина	на	0.230769
зимата	на	г	1.000000
знае	дали	ще	0.214286
знае	за	какво	0.272727
знае	как	да	0.500000
знае	как	се	0.375000
знае	какви	са	1.000000
знае	какво	е	0.142857
знае	какво	се	0.142857
знае	кога	ще	0.600000
знае	къде	са	0.500000
знае	че	това	0.113636
знае	че	има	0.090909
знае	че	нищо	0.068182
знае	че	е	0.068182
знам	дали	ще	0.240000
знам	дали	е	0.120000
знам	защо	но	0.187500
знам	как	ще	0.187500
знам	как	се	0.187500
знам	какво	е	0.166667
знам	че	има	0.078947
знам	че	е	0.078947
знам	че	няма	0.078947
значение	дали	е	0.363636
значение	е	да	0.428571
значение	за	националната	0.161290
значение	за	да	0.096774
значение	и	за	0.428571
зъби	и	нокти	0.600000
идва	в	момент	0.444444
идва	време	за	1.000000
идва	ден	след	1.000000
идва	от	русия	0.129032
идва	от	това	0.096774
идва	след	като	0.571429
избере	председател	на	0.600000
избора	на	председател	0.173913
избора	на	нов	0.173913
избори	в	сащ	0.222222
избори	на	октомври	0.411765
избори	няма	да	0.666667
избори	през	г	0.272727
избори	през	ноември	0.242424
избори	през	юни	0.090909
избори	трябва	да	1.000000
изборите	в	неделя	0.400000
изборите	на	октомври	0.555556
изборите	през	ноември	0.304348
изборите	през	г	0.260870
изборите	ще	се	0.428571
избран	за	играч	0.157895
избран	председател	на	1.000000
известно	време	но	0.090909
известно	време	и	0.090909
известно	време	в	0.090909
известно	е	че	0.933333
издаде	заповед	за	0.500000
изключително	важни	за	0.714286
изключително	важно	да	0.437500
излезе	и	да	0.375000
излезе	на	сцената	0.300000
излезе	от	тази	0.166667
излезе	с	позиция	0.173913
излезе	с	една	0.130435
използва	за	да	0.461538
използва	и	от	0.444444
използва	и	за	0.333333
използват	за	да	0.307692
изпрати	войски	в	0.600000
изпрати	въпроси	до	1.000000
изпълнение	на	плана	0.093023
изпълнение	на	т	0.069767
изпълнение	на	проект	0.069767
изток	и	запад	0.200000
изток	и	африка	0.200000
или	ви	е	0.750000
или	все	още	0.500000
или	да	се	0.275862
или	да	не	0.086207
или	да	си	0.051724
или	да	му	0.034483
или	да	бъде	0.034483
или	да	останат	0.025862
или	да	го	0.025862
или	дори	да	0.178571
или	друг	начин	0.571429
или	друга	причина	0.461538
или	изобщо	не	0.500000
или	иначе	ще	0.130435
или	казано	по	0.428571
или	късно	ще	0.357143
или	липсата	на	0.750000
или	на	сто	0.179487
или	над	от	0.750000
или	не	е	0.145455
или	не	това	0.072727
или	не	са	0.072727
или	не	за	0.054545
или	нещо	подобно	0.363636
или	някой	друг	0.500000
или	няма	да	0.454545
или	по	скоро	0.139535
или	по	малко	0.069767
или	по	точно	0.069767
или	повече	от	0.214286
или	поне	да	0.142857
или	поне	не	0.107143
или	просто	да	0.260870
или	пък	да	0.156250
или	с	по	0.108696
или	с	други	0.086957
или	с	повече	0.086957
или	с	спрямо	0.065217
или	са	се	0.200000
или	три	пъти	0.333333
или	трябва	да	1.000000
или	че	ще	0.200000
или	четири	години	0.750000
или	ще	се	0.159091
или	ще	бъде	0.113636
или	ще	бъдат	0.113636
или	ще	има	0.090909
им	благодари	за	0.600000
им	в	сила	0.150000
им	вече	е	0.500000
им	вече	са	0.500000
им	да	се	0.200000
им	е	да	0.061538
им	е	било	0.046154
им	е	по	0.046154
им	е	че	0.038462
им	е	много	0.038462
им	е	на	0.030769
им	е	мястото	0.030769
им	е	трудно	0.030769
им	е	била	0.030769
им	е	виновен	0.023077
им	е	лесно	0.023077
им	за	да	0.285714
им	както	и	1.000000
им	може	да	1.000000
им	не	е	0.307692
им	не	са	0.153846
им	няма	да	0.571429
им	позволи	да	0.750000
им	помага	да	1.000000
им	помогне	да	0.571429
им	през	г	0.375000
им	пречи	да	0.857143
им	пука	за	0.500000
им	са	по	0.115385
им	са	в	0.115385
им	се	е	0.086022
им	се	наложи	0.075269
им	се	налага	0.075269
им	се	плаща	0.032258
им	се	размине	0.032258
им	така	и	0.800000
им	трябва	да	0.571429
им	ще	бъде	0.222222
им	ще	се	0.148148
им	ще	бъдат	0.111111
има	в	момента	0.111111
има	в	сектор	0.083333
има	висока	цена	0.750000
има	воля	за	0.750000
има	време	за	0.384615
има	време	да	0.384615
има	връзка	с	0.777778
има	връзки	с	0.666667
има	все	още	0.500000
има	възможност	да	0.533333
има	възможност	за	0.333333
има	възможността	да	1.000000
има	голям	риск	0.300000
има	голяма	разлика	0.555556
има	голямо	значение	0.600000
има	готовност	да	0.833333
има	данни	за	0.454545
има	данни	че	0.363636
има	два	вида	0.235294
има	две	страни	0.400000
има	дни	за	0.333333
има	договор	с	0.625000
има	доста	по	0.250000
има	доста	повече	0.250000
има	достъп	до	0.769231
има	дял	в	0.750000
има	един	много	0.181818
има	желание	да	0.666667
има	жени	които	1.000000
има	за	цел	0.693878
има	задачата	да	1.000000
има	и	други	0.092593
има	и	такива	0.069444
има	и	много	0.055556
има	и	друг	0.046296
има	и	още	0.041667
има	и	друга	0.027778
има	и	по	0.027778
има	и	от	0.023148
има	и	при	0.018519
има	и	един	0.018519
има	и	доста	0.013889
има	и	някои	0.013889
има	и	няколко	0.013889
има	и	ще	0.013889
има	и	за	0.013889
има	или	няма	0.500000
има	интерес	към	0.571429
има	информация	за	0.307692
има	информация	че	0.307692
има	какво	да	0.857143
има	кой	да	0.928571
има	къде	да	1.000000
има	ли	в	0.047619
има	ли	смисъл	0.047619
има	ли	начин	0.035714
има	ли	нужда	0.035714
има	липса	на	1.000000
има	мача	и	0.750000
има	места	на	0.600000
има	много	въпроси	0.056180
има	много	повече	0.056180
има	много	хора	0.056180
има	много	други	0.033708
има	много	работа	0.033708
има	много	неща	0.033708
има	място	за	0.363636
има	над	хил	0.263158
има	надежда	за	0.750000
има	най	голям	0.320000
има	най	много	0.200000
има	най	висок	0.120000
има	намерение	да	1.000000
има	начини	да	1.000000
има	не	само	0.500000
има	нещо	което	0.200000
има	нещо	общо	0.200000
има	нещо	в	0.120000
има	нужда	от	0.764045
има	нужда	да	0.146067
има	обаче	и	0.333333
има	огромен	потенциал	0.375000
има	опасност	да	0.400000
има	опасност	от	0.266667
има	опит	за	0.285714
има	опит	в	0.214286
има	отношение	към	0.750000
има	още	един	0.234043
има	още	много	0.127660
има	още	една	0.085106
има	още	по	0.063830
има	план	за	0.750000
има	по	малко	0.125000
има	по	голяма	0.075000
има	повече	от	0.391304
има	повече	контрол	0.130435
има	полза	от	1.000000
има	поне	два	0.300000
има	правителство	на	0.272727
има	право	да	0.571429
има	право	на	0.257143
има	правото	да	0.875000
има	предвид	че	0.666667
има	проблем	с	0.636364
има	проблем	в	0.181818
има	проблеми	с	0.444444
има	разлика	между	0.555556
има	редовно	правителство	1.000000
има	решение	на	0.750000
има	риск	от	0.500000
има	риск	да	0.187500
има	с	какво	0.333333
има	само	един	0.142857
има	само	една	0.142857
има	само	в	0.142857
има	свободни	места	1.000000
има	случаи	в	0.600000
има	смисъл	да	0.307692
има	такъв	народ	0.967914
има	твърде	много	1.000000
има	толкова	много	0.400000
има	убити	и	1.000000
има	хора	които	0.696970
има	шанс	да	0.500000
има	шанс	за	0.250000
имайки	предвид	че	0.583333
имам	усещането	че	0.750000
имам	чувството	че	0.800000
имах	възможността	да	1.000000
имаха	възможност	да	0.888889
интервю	за	би	0.131579
интервю	за	нова	0.131579
интервю	за	американската	0.078947
интервю	за	телевизия	0.078947
интервю	за	предаването	0.078947
интервю	и	онлайн	0.666667
интервю	лице	в	1.000000
информация	е	била	0.333333
информация	за	това	0.141176
информация	за	броя	0.035294
информация	за	тях	0.035294
информация	за	възможностите	0.035294
информация	и	за	0.117647
информация	и	от	0.117647
информация	и	да	0.117647
информация	какво	се	0.750000
информация	която	е	0.176471
информация	на	дневник	0.147059
информация	не	е	0.300000
информация	от	полицията	0.115385
информация	по	случая	0.300000
информация	ще	бъде	0.333333
искали	да	се	0.272727
искам	да	кажа	0.169355
искам	да	благодаря	0.096774
искам	да	съм	0.064516
искам	да	си	0.048387
искам	да	се	0.040323
искам	да	го	0.024194
искам	да	ме	0.024194
искам	да	поздравя	0.024194
искам	да	ви	0.024194
искам	да	предупредя	0.024194
искам	да	видя	0.024194
искам	да	уверя	0.024194
искам	нещо	да	1.000000
искам	още	веднъж	1.000000
искаме	да	има	0.068493
искаме	да	видим	0.054795
искаме	да	бъдем	0.041096
искаме	да	живеем	0.041096
искаме	да	ви	0.041096
искаме	да	разберем	0.041096
искаме	да	направим	0.041096
искаме	да	се	0.041096
искаш	да	се	0.200000
искаш	да	кажеш	0.150000
искаш	ли	да	0.833333
истинската	причина	за	0.571429
й	да	бъде	0.266667
й	е	че	1.000000
й	може	да	1.000000
й	ще	се	0.375000
кабинета	на	министъра	0.235294
кабинета	на	президента	0.176471
кажа	че	това	0.089286
кажа	че	е	0.071429
кажа	че	съм	0.053571
кажа	че	в	0.053571
кажа	че	по	0.053571
кажем	не	на	1.000000
казал	че	не	0.088235
казвам	каква	е	1.000000
как	би	могло	0.428571
как	да	се	0.272251
как	да	не	0.060209
как	да	бъде	0.054974
как	да	го	0.049738
как	да	бъдат	0.044503
как	да	стане	0.036649
как	да	си	0.028796
как	да	ги	0.023560
как	да	е	0.023560
как	да	направим	0.015707
как	да	има	0.010471
как	да	са	0.007853
как	да	правят	0.007853
как	да	сме	0.007853
как	да	продължат	0.007853
как	да	ни	0.007853
как	да	използваме	0.007853
как	да	им	0.007853
как	е	възможно	0.242424
как	и	за	0.160000
как	и	дали	0.120000
как	могат	да	0.900000
как	може	да	0.724138
как	можем	да	1.000000
как	няма	да	1.000000
как	са	се	0.363636
как	се	е	0.102273
как	се	прави	0.079545
как	се	чувства	0.045455
как	се	действа	0.045455
как	се	казва	0.045455
как	се	промени	0.034091
как	се	случва	0.034091
как	се	става	0.034091
как	се	развива	0.034091
как	става	това	1.000000
как	стана	така	1.000000
как	това	се	0.294118
как	това	да	0.176471
как	точно	ще	0.277778
как	точно	трябва	0.166667
как	трябва	да	1.000000
как	ще	се	0.375000
как	ще	стане	0.052083
как	ще	ги	0.041667
как	ще	бъде	0.041667
как	ще	го	0.041667
каквато	е	била	0.333333
каквато	и	да	0.965517
както	всяка	година	1.000000
както	го	е	0.375000
както	е	известно	0.259259
както	е	било	0.074074
както	е	по	0.055556
както	е	при	0.055556
както	е	добре	0.055556
както	е	сега	0.055556
както	и	на	0.123476
както	и	за	0.106707
както	и	да	0.096037
както	и	от	0.044207
както	и	че	0.033537
както	и	при	0.021341
както	и	по	0.021341
както	и	други	0.018293
както	и	през	0.013720
както	и	всички	0.012195
както	и	дали	0.010671
както	и	другите	0.009146
както	и	тези	0.009146
както	и	заради	0.009146
както	и	много	0.009146
както	и	със	0.009146
както	и	някои	0.007622
както	и	още	0.006098
както	и	до	0.006098
както	и	във	0.006098
както	и	досега	0.006098
както	и	ще	0.006098
както	и	сега	0.004573
както	и	тази	0.004573
както	и	се	0.004573
както	и	цялата	0.004573
както	и	сред	0.004573
както	и	върху	0.004573
както	и	към	0.004573
както	и	това	0.004573
както	им	е	1.000000
както	може	да	0.600000
както	на	себе	0.166667
както	ни	е	0.600000
както	са	си	0.600000
както	се	казва	0.263158
както	се	очаква	0.105263
както	се	случва	0.087719
както	се	говори	0.070175
както	се	вижда	0.052632
както	се	е	0.052632
както	се	прави	0.052632
както	се	очакваше	0.052632
както	стана	ясно	0.454545
какъвто	и	да	0.956522
какъвто	не	е	1.000000
кандидат	за	президент	0.181818
кандидат	за	кмет	0.181818
кандидат	за	председател	0.181818
кандидат	за	министър	0.136364
кариерата	си	на	0.238095
катастрофата	е	станала	0.666667
катастрофата	на	ам	0.750000
катастрофата	при	която	1.000000
кво	стана	с	0.750000
китай	да	се	0.500000
китай	започва	да	1.000000
китай	и	индия	0.210526
китай	и	сащ	0.157895
клиенти	както	и	1.000000
клиенти	които	са	0.333333
км	в	час	0.444444
км	до	км	0.846154
км	на	ам	0.375000
км	от	границата	0.150000
км	ч	при	0.200000
кога	да	се	0.400000
кога	е	било	0.333333
кога	и	как	0.500000
кога	може	да	1.000000
кога	ще	се	0.211538
кога	ще	бъде	0.096154
кога	ще	започне	0.076923
кога	ще	има	0.057692
когото	и	да	1.000000
което	аз	съм	0.333333
което	би	могло	0.533333
което	би	трябвало	0.200000
което	в	момента	0.160000
което	в	крайна	0.120000
което	вече	е	0.230769
което	вече	са	0.230769
което	ви	е	0.300000
което	влиза	в	1.000000
което	води	до	0.812500
което	води	и	0.187500
което	все	още	0.800000
което	го	прави	0.526316
което	говори	за	0.500000
което	да	се	0.232558
което	да	бъде	0.081395
което	да	е	0.046512
което	да	ги	0.034884
което	да	работи	0.034884
което	доведе	до	0.928571
което	е	най	0.051948
което	е	от	0.043290
което	е	около	0.025974
което	е	бил	0.025974
което	е	много	0.025974
което	е	било	0.025974
което	е	важно	0.021645
което	е	по	0.021645
което	е	част	0.021645
което	е	под	0.012987
което	е	на	0.012987
което	е	почти	0.012987
което	е	останало	0.012987
което	е	получил	0.012987
което	е	възможно	0.012987
което	е	особено	0.012987
което	е	малко	0.012987
което	е	повече	0.012987
което	е	абсурдно	0.012987
което	е	свързано	0.012987
което	зависи	от	1.000000
което	значи	че	0.888889
което	и	да	0.428571
което	иска	да	0.555556
което	искам	да	0.857143
което	искаме	да	0.750000
което	мога	да	0.750000
което	могат	да	0.750000
което	може	да	0.892308
което	можем	да	0.866667
което	можете	да	0.750000
което	можеш	да	1.000000
което	на	практика	0.312500
което	на	свой	0.250000
което	най	много	0.636364
което	не	е	0.244681
което	не	се	0.117021
което	не	може	0.106383
което	не	сме	0.042553
което	не	сте	0.031915
което	не	трябва	0.031915
което	не	позволява	0.031915
което	никой	не	0.750000
което	няма	да	0.578947
което	означава	че	0.818182
което	от	своя	0.428571
което	отговаря	на	0.750000
което	още	повече	0.750000
което	по	думите	0.375000
което	по	никакъв	0.187500
което	показва	че	0.600000
което	правите	за	0.500000
което	предполага	че	0.600000
което	разбира	се	1.000000
което	само	по	0.555556
което	се	случва	0.170103
което	се	случи	0.118557
което	се	е	0.067010
което	се	дължи	0.036082
което	се	очаква	0.030928
което	се	нуждае	0.020619
което	се	намира	0.020619
което	се	нуждаят	0.020619
което	се	вижда	0.020619
което	се	грижи	0.015464
което	се	говори	0.015464
което	се	опитва	0.015464
което	се	смята	0.015464
което	според	мен	0.272727
което	според	него	0.272727
което	със	сигурност	1.000000
което	също	се	0.250000
което	също	не	0.187500
което	той	не	0.136364
което	трябва	да	1.000000
което	ще	се	0.202797
което	ще	бъде	0.125874
което	ще	доведе	0.076923
което	ще	позволи	0.034965
което	ще	направим	0.034965
което	ще	направи	0.027972
което	ще	помогне	0.027972
което	ще	бъдат	0.027972
което	ще	може	0.020979
което	ще	ви	0.020979
което	ще	му	0.020979
който	беше	точен	0.096774
който	би	могъл	0.454545
който	в	момента	0.418605
който	в	началото	0.093023
който	вече	е	0.458333
който	вече	се	0.208333
който	ви	позволява	0.750000
който	винаги	е	1.000000
който	влезе	в	0.800000
който	води	към	0.428571
който	временно	ще	1.000000
който	все	още	0.545455
който	всеки	може	0.444444
който	ги	е	0.500000
